"Second","Throughput"
"1","208"
"2","610"
"3","1080"
"4","882"
"5","1017"
"6","965"
"7","978"
"8","950"
"9","1067"
"10","1018"
"11","784"
"12","813"
"13","802"
"14","967"
"15","911"
"16","1097"
"17","1021"
"18","1233"
"19","1035"
"20","919"
"21","829"
"22","758"
"23","840"
"24","1035"
"25","752"
"26","1148"
"27","874"
"28","866"
"29","1244"
"30","1056"
"31","894"
"32","809"
"33","884"
"34","549"
"35","692"
"36","995"
"37","1081"
"38","1120"
"39","1017"
"40","950"
"41","1236"
"42","930"
"43","889"
"44","839"
"45","886"
"46","1170"
"47","1116"
"48","987"
"49","1084"
"50","966"
"51","522"
"52","574"
"53","620"
"54","1161"
"55","981"
"56","363"
"57","401"
"58","467"
"59","463"
"60","516"
"61","570"
"62","577"
"63","558"
"64","625"
"65","666"
"66","644"
"67","1030"
"68","958"
"69","954"
"70","959"
"71","1003"
"72","915"
"73","1075"
"74","987"
"75","893"
"76","1157"
"77","1117"
"78","1154"
"79","1071"
"80","944"
"81","931"
"82","1130"
"83","853"
"84","611"
"85","926"
"86","1057"
"87","1164"
"88","1050"
"89","855"
"90","978"
"91","1018"
"92","1103"
"93","1203"
"94","1179"
"95","1013"
"96","993"
"97","1008"
"98","904"
"99","1004"
"100","747"
"101","888"
"102","822"
"103","857"
"104","434"
"105","912"
"106","980"
"107","610"
"108","300"
"109","184"
"110","322"
"111","455"
"112","854"
"113","926"
"114","821"
"115","925"
"116","907"
"117","769"
"118","828"
"119","802"
"120","930"
"121","889"
"122","922"
"123","649"
"124","634"
"125","414"
"126","383"
"127","439"
"128","598"
"129","680"
"130","561"
"131","633"
"132","689"
"133","186"
"134","704"
"135","594"
"136","669"
"137","763"
"138","789"
"139","874"
"140","935"
"141","919"
"142","938"
"143","773"
"144","850"
"145","659"
"146","870"
"147","941"
"148","821"
"149","969"
"150","698"
"151","899"
"152","903"
"153","1101"
"154","865"
"155","930"
"156","902"
"157","715"
"158","1045"
"159","1088"
"160","1096"
"161","1068"
"162","985"
"163","1128"
"164","976"
"165","1077"
"166","1045"
"167","1081"
"168","999"
"169","1248"
"170","1241"
"171","1144"
"172","1263"
"173","1126"
"174","413"
"175","922"
"176","1067"
"177","1237"
"178","1153"
"179","1083"
"180","1041"
"181","1029"
"182","965"
"183","1031"
"184","842"
"185","1012"
"186","862"
"187","999"
"188","640"
"189","1128"
"190","996"
"191","906"
"192","905"
"193","1126"
"194","820"
"195","1064"
"196","1153"
"197","1085"
"198","1091"
"199","1105"
"200","1159"
"201","1062"
"202","1138"
"203","1200"
"204","1096"
"205","749"
"206","925"
"207","852"
"208","674"
"209","962"
"210","905"
"211","957"
"212","364"
"213","324"
"214","170"
"215","590"
"216","488"
"217","410"
"218","366"
"219","586"
"220","471"
"221","513"
"222","529"
"223","627"
"224","559"
"225","619"
"226","508"
"227","543"
"228","530"
"229","658"
"230","471"
"231","410"
"232","623"
"233","565"
"234","465"
"235","594"
"236","577"
"237","546"
"238","521"
"239","488"
"240","312"
"241","531"
"242","556"
"243","549"
"244","537"
"245","592"
"246","511"
"247","499"
"248","587"
"249","623"
"250","588"
"251","619"
"252","641"
"253","692"
"254","343"
"255","607"
"256","625"
"257","602"
"258","500"
"259","743"
"260","230"
"261","521"
"262","575"
"263","608"
"264","273"
"265","447"
"266","663"
"267","299"
"268","502"
"269","511"
"270","535"
"271","488"
"272","594"
"273","520"
"274","510"
"275","629"
"276","466"
"277","880"
"278","1154"
"279","1160"
"280","1070"
"281","1153"
"282","1137"
"283","1229"
"284","858"
"285","886"
"286","1067"
"287","1042"
"288","713"
"289","1130"
"290","1051"
"291","953"
"292","1143"
"293","935"
"294","409"
"295","871"
"296","891"
"297","857"
"298","958"
"299","988"
"300","853"
"301","851"
"302","884"
"303","993"
"304","929"
"305","749"
"306","857"
"307","824"
"308","855"
"309","1061"
"310","959"
"311","953"
"312","1036"
"313","1048"
"314","513"
"315","862"
"316","1040"
"317","894"
"318","819"
"319","960"
"320","936"
"321","970"
"322","933"
"323","1059"
"324","993"
"325","938"
"326","1204"
"327","1069"
"328","1059"
"329","878"
"330","960"
"331","1033"
"332","1162"
"333","1199"
"334","1048"
"335","861"
"336","1043"
"337","866"
"338","991"
"339","988"
"340","1045"
"341","947"
"342","913"
"343","955"
"344","1088"
"345","1028"
"346","679"
"347","792"
"348","639"
"349","808"
"350","988"
"351","864"
"352","897"
"353","877"
"354","525"
"355","782"
"356","739"
"357","744"
"358","926"
"359","954"
"360","1185"
"361","739"
"362","992"
"363","1000"
"364","966"
"365","977"
"366","901"
"367","552"
"368","900"
"369","1000"
"370","968"
"371","853"
"372","889"
"373","865"
"374","1131"
"375","897"
"376","1063"
"377","1077"
"378","1081"
"379","1035"
"380","1041"
"381","996"
"382","1014"
"383","876"
"384","978"
"385","895"
"386","1045"
"387","1042"
"388","1017"
"389","826"
"390","938"
"391","990"
"392","931"
"393","1176"
"394","494"
"395","832"
"396","832"
"397","948"
"398","909"
"399","865"
"400","959"
"401","753"
"402","807"
"403","674"
"404","922"
"405","900"
"406","1039"
"407","867"
"408","279"
"409","449"
"410","281"
"411","433"
"412","664"
"413","847"
"414","1015"
"415","989"
"416","856"
"417","996"
"418","875"
"419","891"
"420","1026"
"421","949"
"422","879"
"423","1014"
"424","1095"
"425","856"
"426","1091"
"427","1068"
"428","1086"
"429","814"
"430","926"
"431","774"
"432","827"
"433","1045"
"434","928"
"435","951"
"436","1029"
"437","1092"
"438","951"
"439","1097"
"440","909"
"441","904"
"442","866"
"443","1055"
"444","880"
"445","830"
"446","1038"
"447","1008"
"448","900"
"449","932"
"450","926"
"451","909"
"452","925"
"453","1036"
"454","327"
"455","896"
"456","876"
"457","914"
"458","940"
"459","798"
"460","383"
"461","492"
"462","577"
"463","767"
"464","962"
"465","827"
"466","631"
"467","939"
"468","831"
"469","848"
"470","1005"
"471","778"
"472","784"
"473","788"
"474","683"
"475","825"
"476","702"
"477","760"
"478","696"
"479","651"
"480","898"
"481","728"
"482","918"
"483","976"
"484","936"
"485","928"
"486","807"
"487","928"
"488","1060"
"489","895"
"490","973"
"491","999"
"492","973"
"493","537"
"494","767"
"495","929"
"496","906"
"497","910"
"498","792"
"499","929"
"500","1052"
"501","1202"
"502","878"
"503","931"
"504","404"
"505","368"
"506","783"
"507","876"
"508","942"
"509","901"
"510","715"
"511","634"
"512","1103"
"513","1014"
"514","1194"
"515","1133"
"516","894"
"517","873"
"518","692"
"519","838"
"520","1007"
"521","989"
"522","1140"
"523","745"
"524","992"
"525","725"
"526","414"
"527","553"
"528","675"
"529","664"
"530","817"
"531","765"
"532","868"
"533","327"
"534","296"
"535","913"
"536","899"
"537","981"
"538","1143"
"539","1038"
"540","1226"
"541","1130"
"542","882"
"543","1056"
"544","1126"
"545","904"
"546","967"
"547","995"
"548","1179"
"549","619"
"550","1075"
"551","1182"
"552","891"
"553","967"
"554","897"
"555","835"
"556","1172"
"557","1052"
"558","1066"
"559","905"
"560","1036"
"561","1107"
"562","949"
"563","1039"
"564","1023"
"565","998"
"566","970"
"567","856"
"568","936"
"569","952"
"570","859"
"571","970"
"572","931"
"573","802"
"574","946"
"575","924"
"576","975"
"577","981"
"578","802"
"579","873"
"580","1165"
"581","900"
"582","848"
"583","803"
"584","461"
